comment,label
shop cứ bán hàng y hình thế này thì sẽ ủng hộ nhiều,POS
"chất lượng sản phẩm tuyệt vời , rất xinh luôn",POS
giày đẹp nè đầy đủ giao hàng nhanh,POS
yêu shop,NEU
giá cao hơn các shop khác,NEG
"size 34 mà áo hơi to hơn size 34 loại khác 1chút , khá mềm , đóng gói tốt",POS
"vẫn cho shop 5 sao vì áo đẹp , giao hàng nhanh chóng",POS
mọi ng nên mua lớn hơn bth 1 size nha,NEU
"đẹp như hình , chất lượng sp tuyệt vời",POS
rất đáng tiền rất đáng tiền shop phục vụ rất tốt,POS
vì rộng va hok nhân biên,NEG
chất da ok,POS
vải rất đẹp rất đáng tiền đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh,POS
"nhưng với giá vậy là ok rồi , phù hợp với giá tiền thôi ^ chủ shop phục vụ và tư vấn nhiệt tình",POS
các bạn nên dùng,POS
hàng ok đẹp bó sát thoải mái,NEU
chất lượng sản phẩm tuyệt vời shop phục vụ rất tốt thời gian giao hàng rất nhanh áo rất đẹp sẽ ủng hộ shop dài dài mk ở bắc mà 2 ngày đã nhận đc hàng,POS
"bán đồ tệ mà mắc như shit đã v còn nói bán phí hàng , s ko để tự mặc đi bán hàng thua cả đồ e bé thì quá tệ để lại mặc đi chứ bán mà nói quá lên hàng ok treo đầu dê bán thịt chó v",NEG
chất lượng sản phẩm rất kém vải chứ không phải len mặc chân váy bị xoè vải mỏng,NEG
vải mỏng quá,NEG
"tuy vải hơn thô , dây giữ máy tính không co giãn được nhưng balo lớn , chứa được nhiều đồ , màu đẹp , shop tâm lý , pin dự phòng rất ok",POS
"mới chùm áo mua 1 - 2 bữa đèn đã xước nhoe nhoét rồi , không biết làm bằng nhựa gì nữa",NEG
"chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt . ông xã mình vừa mặc thử bộ thể thao này , vừa vặn và đẹp lắm shop ah",POS
"tốt , nhiệt , tình cảm ơn nhé",POS
"rất chim ưng , giá cả hợp lý , mặc rất thích nha",POS
đồ đẹp đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt thời gian giao hàng rất nhanh rất đáng tiền,POS
shop rất tốt,POS
da khô thoáng,POS
"thời gian giao hàng cực kì nhanh , chất lượng sản phẩm rất tốt , hài lòng",POS
phải nói là chất lượng quá tuyệt,POS
giao nhầm mẫu ib k tl,NEG
"chất lượng sản phẩm tuyệt vời , giống mẫu , vải mỏng",POS
hộp đồng hồ mốp méo tùm lum,NEG
đóng gói sản phẩm rất đẹp và chắc chắn đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền thời gian giao hàng rất nhanh chất lượng sản phẩm tuyệt vời,POS
"chip chất lượng , đẹp từ màu sắc , học tiết đễn chất coton nhé",POS
ai ngờ áo rộng thùng thình,POS
áo hơi mỏng,NEG
giao hàng k đúng mẫu,NEG
"đẹp , chắc , mỗi cái kính bám vân tây hơi nhiều",POS
xấu thẩm tệ thậm tệ và ko đáng bằng đấy tiền m,NEG
nễu khắc phục được chi tiết nho nhỏ đó thì sẽ cho shop 5 sao,POS
dáng cũng thoải mái . 5 cho shop nhen,POS
"đầm vải mịn đẹp , lên form dáng đẹp lắm nhé",POS
ko ưng y lam,NEG
chủ shop tư vấn nhiet tình dethuog,POS
"giao hàng nhanh , chăm sóc kh tốt",POS
"đáng tiền , chất đẹp , áo y ảnh < 3 gói hàng cẩn thân",POS
shop rất rất dễ thương,POS
áo hơi nhỏ mk mặc k vừa chất lượng sản phẩm tốt,POS
chất lượng như giá tiền,NEU
đựơc,POS
mà rẻ z bảo sao vải đẹp,NEG
"vải mỏng , cổ hơi rộng nhưng nói chung mặc vẫn ok",NEU
vua y,POS
hàng đómg đẹp,POS
sp kém,NEG
giao hàng chưa đúng trủng loại,NEG
chất mỏng dùng cũng tạm được,POS
huu mấy chị đẹp rụng rời luôn < 3,POS
thơm,POS
dog gói bt,NEU
shop phục vụ tận tình còn đt để tư vấn size k thì áo vck e rộng rinh r,POS
chúc shop buôn bán tốt nhé,NEU
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn shop phục vụ rất tốt rất đáng tiền thời gian giao hàng rất nhanh và chị nhắn cũng đáng yêu nữa cơ ^ áo rất đẹp y hình lun nha rất rất thích lun nì,POS
rất hài lòng .shop phục vụ rất nhiệt tình và chu đáo,POS
chất lượng sản phẩm tạm được chất lượng sản phẩm tạm được chất lượng sản phẩm tạm được chất lượng sản phẩm tạm được chất lượng sản phẩm tạm được,POS
rất hài lòng . khuyên các bạn nên mua ở đây . god,POS
"sản phẩm lỗi nặng , shop k kiểm tra trước khi gửi hàng",NEG
áo đẹp giống hinh . vải hơi mỏg nha,NEU
giày đẹp lắm ạ < 3 shop phục vụ rất tốt rất đáng tiền,POS
sẽ t ủng hộ shop,POS
"áo dày , dài , rộng mk m5 mặc thì thành váy",NEG
đường may ko đẹp lm,NEU
"shop phục vụ rất tốt rất đáng tiền , chủ shop có tâm còn tặng quà nữa",POS
áo hơi bẩn,NEU
san phẩm đẹp dáng chuẩn,POS
giao hàng nhanh .chất lượng sản phẩm tốt,POS
"áo đẹp , chất đẹp , thích cực",POS
áo form to đẹp chất đẹp,POS
quan bi thư loại vải xấu k giong hinh,NEG
vải đẹp nhưng size quá bụ,NEG
sẽ còn phải tốn xiền với shop dài dài rồi,POS
"đồ vải đẹp , mát mịn lắm",POS
hàng đẹp lắm lun,POS
"chất lượng sản phẩm tạm được , tay áo ngay nách khá chật",POS
"áo dàu dặn lên form đẹp , ko bí da",POS
mình mua 7 món nhưng shop chỉ giao 5 và vẫn tính tiền 7,NEU
ống tay hơi nhỏ,NEG
đây là size hơi nhỏ nên bạn nào đi size bình thường nên tăng lên một size nhé,NEU
đáng tiền lắm luôn í,POS
"nhận quần , so sánh với giá mình mua được lúc đang sale , thấy mãn nguyện gì đâu rất đáng tiền rất đáng tiền thời gian giao hàng rất nhanh thời gian giao hàng rất nhanh shop phục vụ rất tốt shop phục vụ rất tốt",POS
chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn rất đáng tiền shop phục vụ rất tốt shop phục vụ rất tốt,POS
"shop chăm sóc khách hàng tốt mua hàng có kèm quà tặng nửa đóng gói sản phẩm rất đẹp và chắc chắn thời gian giao hàng rất nhanh , sẽ ủng hộ shop dài dài",POS
thời gian giao hàng nhanh shop phục vụ khá tốt,POS
"thời gian giao hàng rất nhanh đặt ngày 10 / 10 mà 11 / 10 đã nhận đc hàng r , quần dày dặn nói chung là ok",POS
"hàng rất đẹp , đóng gói sản phẩm chắc chắn , shop phục vụ rất tốt , thời gian giao hàng rất nhanh , tks shop",POS
thời gian giao hàng nhanh vải min tạm được có mỗi tội đồ bị rộng quá mk 46kg cao 1m55 mặc vẫn k vừa vì bị rộng,POS
xấu nhỏ kh vừa ok chất lượng sản phẩm rất kém shop phục vụ rất kém rất không đáng tiền,NEG
áo xinh vải đẹp,NEU
"váy đẹp , giao hàng nhanh ạ",POS
"áo đẹp , vải voan mặc mát",POS
quần đẹp lắm luôn . sẽ ủng hộ shop dài dài,POS
"chất lượng sản phẩm tuyệt vời , áo rất đẹp , m 42kg cao 1m55 mặc vừa y , rất đáng tiền",POS
màu sắc k tươi như hình,NEG
giao hàng nhanh nhưng size k đúng,NEG
nhưng hơi mỏng,NEU
lúc đầu cũng k kì vọng lắm nhưng nhận được hơi bất ngờ,POS
